variable	Date	layer	mean_value	data_type
Chlorophyll-a	2012-08-28	20 m to bottom	1.09148233189774	obs
Chlorophyll-a	2012-10-02	0-20 m	1.08095801173411	obs
Chlorophyll-a	2012-10-02	20 m to bottom	0.595569197150695	obs
Chlorophyll-a	2013-04-23	0-20 m	3.53278908176193	obs
Chlorophyll-a	2013-04-23	20 m to bottom	3.9079806782044	obs
Chlorophyll-a	2013-05-07	0-20 m	7.50704424267752	obs
Chlorophyll-a	2013-05-07	20 m to bottom	5.24285727915037	obs
Chlorophyll-a	2013-06-04	0-20 m	7.24433708609034	obs
Chlorophyll-a	2013-06-04	20 m to bottom	8.86176609339578	obs
Chlorophyll-a	2013-06-06	0-20 m	7.32548489997849	obs
Chlorophyll-a	2013-06-06	20 m to bottom	10.3129983830114	obs
Chlorophyll-a	2013-06-11	0-20 m	6.55378093716608	obs
Chlorophyll-a	2013-06-11	20 m to bottom	7.38245299737984	obs
Chlorophyll-a	2013-07-09	0-20 m	2.10162644347933	obs
Chlorophyll-a	2013-07-09	20 m to bottom	2.8542248195189	obs
Chlorophyll-a	2013-08-06	0-20 m	1.16689333381246	obs
Chlorophyll-a	2013-08-06	20 m to bottom	0.663144629450087	obs
Chlorophyll-a	2013-09-03	0-20 m	2.31348029731448	obs
Chlorophyll-a	2013-09-03	20 m to bottom	0.866542013490459	obs
Chlorophyll-a	2013-09-17	0-20 m	2.04658747926771	obs
Chlorophyll-a	2013-09-17	20 m to bottom	0.987504959322299	obs
Chlorophyll-a	2013-10-01	0-20 m	2.92300428200468	obs
Chlorophyll-a	2013-10-01	20 m to bottom	1.23475208079896	obs
Chlorophyll-a	2014-04-23	0-20 m	7.76661005008146	obs
Chlorophyll-a	2014-04-23	20 m to bottom	6.59343165099213	obs
Chlorophyll-a	2014-05-06	0-20 m	5.09001048979055	obs
Chlorophyll-a	2014-05-06	20 m to bottom	4.42179122880454	obs
Chlorophyll-a	2014-06-03	0-20 m	1.13945673094048	obs
Chlorophyll-a	2014-06-03	20 m to bottom	4.56734615121122	obs
Chlorophyll-a	2014-07-08	0-20 m	4.48230379931943	obs
Chlorophyll-a	2014-07-08	20 m to bottom	1.72746968236167	obs
Chlorophyll-a	2014-08-05	0-20 m	2.57125246845879	obs
Chlorophyll-a	2014-08-05	20 m to bottom	1.99531189813886	obs
Chlorophyll-a	2014-09-02	0-20 m	2.4300906368078	obs
Chlorophyll-a	2014-09-02	20 m to bottom	0.919494696323194	obs
Chlorophyll-a	2014-09-30	0-20 m	2.34382241893479	obs
Chlorophyll-a	2014-09-30	20 m to bottom	0.795917236485355	obs
Chlorophyll-a	2015-01-20	0-20 m	2.97150343776322	obs
Chlorophyll-a	2015-01-20	20 m to bottom	2.76250181413208	obs
Chlorophyll-a	2015-02-24	0-20 m	4.43201786999307	obs
Chlorophyll-a	2015-02-24	20 m to bottom	4.23924177553906	obs
