Hoehe [mNN],Inhalt [Mio m³],Hoehe [mNN],Flaeche [m²],Flaeche [ha]
485.55,0.523,485.55,100204,10.02
485.56,0.524,485.56,100308,10.03
485.57,0.525,485.57,100413,10.04
485.58,0.526,485.58,100517,10.05
485.59,0.527,485.59,100622,10.06
485.6,0.528,485.6,100726,10.07
485.61,0.529,485.61,100831,10.08
485.62,0.53,485.62,100936,10.09
485.63,0.531,485.63,101040,10.1
485.64,0.532,485.64,101145,10.11
485.65,0.533,485.65,101249,10.12
485.66,0.534,485.66,101354,10.14
485.67,0.535,485.67,101458,10.15
485.68,0.536,485.68,101563,10.16
485.69,0.537,485.69,101667,10.17
485.7,0.538,485.7,101772,10.18
485.71,0.539,485.71,101876,10.19
485.72,0.54,485.72,101981,10.2
485.73,0.541,485.73,102085,10.21
485.74,0.542,485.74,102190,10.22
485.75,0.543,485.75,102294,10.23
485.76,0.544,485.76,102399,10.24
485.77,0.546,485.77,102504,10.25
485.78,0.547,485.78,102608,10.26
485.79,0.548,485.79,102713,10.27
485.8,0.549,485.8,102817,10.28
485.81,0.55,485.81,102922,10.29
485.82,0.551,485.82,103026,10.3
485.83,0.552,485.83,103131,10.31
485.84,0.553,485.84,103235,10.32
485.85,0.554,485.85,103340,10.33
485.86,0.555,485.86,103444,10.34
485.87,0.556,485.87,103549,10.35
485.88,0.557,485.88,103653,10.37
485.89,0.558,485.89,103758,10.38
485.9,0.559,485.9,103863,10.39
485.91,0.56,485.91,103967,10.4
485.92,0.561,485.92,104072,10.41
485.93,0.562,485.93,104176,10.42
485.94,0.563,485.94,104281,10.43
485.95,0.564,485.95,104385,10.44
485.96,0.565,485.96,104490,10.45
485.97,0.566,485.97,104594,10.46
485.98,0.567,485.98,104699,10.47
485.99,0.568,485.99,104803,10.48
486,0.569,486,104908,10.49
486.01,0.57,486.01,105012,10.5
486.02,0.572,486.02,105117,10.51
486.03,0.573,486.03,105222,10.52
486.04,0.574,486.04,105326,10.53
486.05,0.575,486.05,105431,10.54
486.06,0.576,486.06,105535,10.55
486.07,0.577,486.07,105640,10.56
486.08,0.578,486.08,105744,10.57
486.09,0.579,486.09,105849,10.58
486.1,0.58,486.1,105953,10.6
486.11,0.581,486.11,106058,10.61
486.12,0.582,486.12,106162,10.62
486.13,0.583,486.13,106267,10.63
486.14,0.584,486.14,106371,10.64
486.15,0.585,486.15,106476,10.65
486.16,0.586,486.16,106581,10.66
486.17,0.587,486.17,106685,10.67
486.18,0.589,486.18,106790,10.68
486.19,0.59,486.19,106894,10.69
486.2,0.591,486.2,106999,10.7
486.21,0.592,486.21,107103,10.71
486.22,0.593,486.22,107208,10.72
486.23,0.594,486.23,107312,10.73
486.24,0.595,486.24,107417,10.74
486.25,0.596,486.25,107521,10.75
486.26,0.597,486.26,107626,10.76
486.27,0.598,486.27,107730,10.77
486.28,0.599,486.28,107835,10.78
486.29,0.6,486.29,107939,10.79
486.3,0.601,486.3,108044,10.8
486.31,0.603,486.31,108149,10.81
486.32,0.604,486.32,108253,10.83
486.33,0.605,486.33,108358,10.84
486.34,0.606,486.34,108462,10.85
486.35,0.607,486.35,108567,10.86
486.36,0.608,486.36,108671,10.87
486.37,0.609,486.37,108776,10.88
486.38,0.61,486.38,108880,10.89
486.39,0.611,486.39,108985,10.9
486.4,0.612,486.4,109089,10.91
486.41,0.613,486.41,109194,10.92
486.42,0.615,486.42,109298,10.93
486.43,0.616,486.43,109403,10.94
486.44,0.617,486.44,109508,10.95
486.45,0.618,486.45,109612,10.96
486.46,0.619,486.46,109717,10.97
486.47,0.62,486.47,109821,10.98
486.48,0.621,486.48,109926,10.99
486.49,0.622,486.49,110030,11
486.5,0.623,486.5,110135,11.01
486.51,0.624,486.51,110239,11.02
486.52,0.626,486.52,110344,11.03
486.53,0.627,486.53,110448,11.04
486.54,0.628,486.54,110553,11.06
486.55,0.629,486.55,110657,11.07
486.56,0.63,486.56,110762,11.08
486.57,0.631,486.57,110867,11.09
486.58,0.632,486.58,110971,11.1
486.59,0.633,486.59,111076,11.11
486.6,0.634,486.6,111180,11.12
486.61,0.636,486.61,111285,11.13
486.62,0.637,486.62,111389,11.14
486.63,0.638,486.63,111494,11.15
486.64,0.639,486.64,111598,11.16
486.65,0.64,486.65,111703,11.17
486.66,0.641,486.66,111807,11.18
486.67,0.642,486.67,111912,11.19
486.68,0.643,486.68,112016,11.2
486.69,0.645,486.69,112121,11.21
486.7,0.646,486.7,112226,11.22
486.71,0.647,486.71,112330,11.23
486.72,0.648,486.72,112435,11.24
486.73,0.649,486.73,112539,11.25
486.74,0.65,486.74,112644,11.26
486.75,0.651,486.75,112748,11.27
486.76,0.652,486.76,112853,11.29
486.77,0.654,486.77,112957,11.3
486.78,0.655,486.78,113062,11.31
486.79,0.656,486.79,113166,11.32
486.8,0.657,486.8,113271,11.33
486.81,0.658,486.81,113375,11.34
486.82,0.659,486.82,113480,11.35
486.83,0.66,486.83,113585,11.36
486.84,0.661,486.84,113689,11.37
486.85,0.663,486.85,113794,11.38
486.86,0.664,486.86,113898,11.39
486.87,0.665,486.87,114003,11.4
486.88,0.666,486.88,114107,11.41
486.89,0.667,486.89,114212,11.42
486.9,0.668,486.9,114316,11.43
486.91,0.669,486.91,114421,11.44
486.92,0.671,486.92,114525,11.45
486.93,0.672,486.93,114630,11.46
486.94,0.673,486.94,114734,11.47
486.95,0.674,486.95,114839,11.48
486.96,0.675,486.96,114943,11.49
486.97,0.676,486.97,115048,11.5
486.98,0.678,486.98,115153,11.52
486.99,0.679,486.99,115257,11.53
487,0.68,487,115362,11.54
487.01,0.681,487.01,115466,11.55
487.02,0.682,487.02,115571,11.56
487.03,0.683,487.03,115675,11.57
487.04,0.684,487.04,115780,11.58
487.05,0.686,487.05,115884,11.59
487.06,0.687,487.06,115989,11.6
487.07,0.688,487.07,116093,11.61
487.08,0.689,487.08,116198,11.62
487.09,0.69,487.09,116302,11.63
487.1,0.691,487.1,116407,11.64
487.11,0.693,487.11,116512,11.65
487.12,0.694,487.12,116616,11.66
487.13,0.695,487.13,116721,11.67
487.14,0.696,487.14,116825,11.68
487.15,0.697,487.15,116930,11.69
487.16,0.698,487.16,117034,11.7
487.17,0.7,487.17,117139,11.71
487.18,0.701,487.18,117243,11.72
487.19,0.702,487.19,117348,11.73
487.2,0.703,487.2,117452,11.75
487.21,0.704,487.21,117557,11.76
487.22,0.706,487.22,117661,11.77
487.23,0.707,487.23,117766,11.78
487.24,0.708,487.24,117871,11.79
487.25,0.709,487.25,117975,11.8
487.26,0.71,487.26,118080,11.81
487.27,0.711,487.27,118184,11.82
487.28,0.713,487.28,118289,11.83
487.29,0.714,487.29,118393,11.84
487.3,0.715,487.3,118498,11.85
487.31,0.716,487.31,118602,11.86
487.32,0.717,487.32,118707,11.87
487.33,0.719,487.33,118811,11.88
487.34,0.72,487.34,118916,11.89
487.35,0.721,487.35,119020,11.9
487.36,0.722,487.36,119125,11.91
487.37,0.723,487.37,119230,11.92
487.38,0.725,487.38,119334,11.93
487.39,0.726,487.39,119439,11.94
487.4,0.727,487.4,119543,11.95
487.41,0.728,487.41,119648,11.96
487.42,0.729,487.42,119752,11.98
487.43,0.73,487.43,119857,11.99
487.44,0.732,487.44,119961,12
487.45,0.733,487.45,120066,12.01
487.46,0.734,487.46,120170,12.02
487.47,0.735,487.47,120275,12.03
487.48,0.737,487.48,120379,12.04
487.49,0.738,487.49,120484,12.05
487.5,0.739,487.5,120589,12.06
487.51,0.74,487.51,120696,12.07
487.52,0.741,487.52,120804,12.08
487.53,0.743,487.53,120912,12.09
487.54,0.744,487.54,121019,12.1
487.55,0.745,487.55,121127,12.11
487.56,0.746,487.56,121235,12.12
487.57,0.747,487.57,121343,12.13
487.58,0.749,487.58,121450,12.15
487.59,0.75,487.59,121558,12.16
487.6,0.751,487.6,121666,12.17
487.61,0.752,487.61,121774,12.18
487.62,0.753,487.62,121881,12.19
487.63,0.755,487.63,121989,12.2
487.64,0.756,487.64,122097,12.21
487.65,0.757,487.65,122205,12.22
487.66,0.758,487.66,122312,12.23
487.67,0.76,487.67,122420,12.24
487.68,0.761,487.68,122528,12.25
487.69,0.762,487.69,122635,12.26
487.7,0.763,487.7,122743,12.27
487.71,0.765,487.71,122851,12.29
487.72,0.766,487.72,122959,12.3
487.73,0.767,487.73,123066,12.31
487.74,0.768,487.74,123174,12.32
487.75,0.769,487.75,123282,12.33
487.76,0.771,487.76,123390,12.34
487.77,0.772,487.77,123497,12.35
487.78,0.773,487.78,123605,12.36
487.79,0.774,487.79,123713,12.37
487.8,0.776,487.8,123821,12.38
487.81,0.777,487.81,123928,12.39
487.82,0.778,487.82,124036,12.4
487.83,0.779,487.83,124144,12.41
487.84,0.781,487.84,124251,12.43
487.85,0.782,487.85,124359,12.44
487.86,0.783,487.86,124467,12.45
487.87,0.784,487.87,124575,12.46
487.88,0.786,487.88,124682,12.47
487.89,0.787,487.89,124790,12.48
487.9,0.788,487.9,124898,12.49
487.91,0.789,487.91,125006,12.5
487.92,0.791,487.92,125113,12.51
487.93,0.792,487.93,125221,12.52
487.94,0.793,487.94,125329,12.53
487.95,0.794,487.95,125437,12.54
487.96,0.796,487.96,125544,12.55
487.97,0.797,487.97,125652,12.57
487.98,0.798,487.98,125760,12.58
487.99,0.799,487.99,125867,12.59
488,0.801,488,125975,12.6
488.01,0.802,488.01,126083,12.61
488.02,0.803,488.02,126191,12.62
488.03,0.804,488.03,126298,12.63
488.04,0.806,488.04,126406,12.64
488.05,0.807,488.05,126514,12.65
488.06,0.808,488.06,126622,12.66
488.07,0.809,488.07,126729,12.67
488.08,0.811,488.08,126837,12.68
488.09,0.812,488.09,126945,12.69
488.1,0.813,488.1,127053,12.71
488.11,0.815,488.11,127160,12.72
488.12,0.816,488.12,127268,12.73
488.13,0.817,488.13,127376,12.74
488.14,0.818,488.14,127483,12.75
488.15,0.82,488.15,127591,12.76
488.16,0.821,488.16,127699,12.77
488.17,0.822,488.17,127807,12.78
488.18,0.823,488.18,127914,12.79
488.19,0.825,488.19,128022,12.8
488.2,0.826,488.2,128130,12.81
488.21,0.827,488.21,128238,12.82
488.22,0.829,488.22,128345,12.83
488.23,0.83,488.23,128453,12.85
488.24,0.831,488.24,128561,12.86
488.25,0.832,488.25,128669,12.87
488.26,0.834,488.26,128776,12.88
488.27,0.835,488.27,128884,12.89
488.28,0.836,488.28,128992,12.9
488.29,0.838,488.29,129099,12.91
488.3,0.839,488.3,129207,12.92
488.31,0.84,488.31,129315,12.93
488.32,0.841,488.32,129423,12.94
488.33,0.843,488.33,129530,12.95
488.34,0.844,488.34,129638,12.96
488.35,0.845,488.35,129746,12.97
488.36,0.847,488.36,129854,12.99
488.37,0.848,488.37,129961,13
488.38,0.849,488.38,130069,13.01
488.39,0.85,488.39,130177,13.02
488.4,0.852,488.4,130285,13.03
488.41,0.853,488.41,130392,13.04
488.42,0.854,488.42,130500,13.05
488.43,0.856,488.43,130608,13.06
488.44,0.857,488.44,130715,13.07
488.45,0.858,488.45,130823,13.08
488.46,0.86,488.46,130931,13.09
488.47,0.861,488.47,131039,13.1
488.48,0.862,488.48,131146,13.11
488.49,0.864,488.49,131254,13.13
488.5,0.865,488.5,131362,13.14
488.51,0.866,488.51,131470,13.15
488.52,0.867,488.52,131577,13.16
488.53,0.869,488.53,131685,13.17
488.54,0.87,488.54,131793,13.18
488.55,0.871,488.55,131901,13.19
488.56,0.873,488.56,132008,13.2
488.57,0.874,488.57,132116,13.21
488.58,0.875,488.58,132224,13.22
488.59,0.877,488.59,132332,13.23
488.6,0.878,488.6,132439,13.24
488.61,0.879,488.61,132547,13.25
488.62,0.881,488.62,132655,13.27
488.63,0.882,488.63,132762,13.28
488.64,0.883,488.64,132870,13.29
488.65,0.885,488.65,132978,13.3
488.66,0.886,488.66,133086,13.31
488.67,0.887,488.67,133193,13.32
488.68,0.889,488.68,133301,13.33
488.69,0.89,488.69,133409,13.34
488.7,0.891,488.7,133517,13.35
488.71,0.893,488.71,133624,13.36
488.72,0.894,488.72,133732,13.37
488.73,0.895,488.73,133840,13.38
488.74,0.897,488.74,133948,13.39
488.75,0.898,488.75,134055,13.41
488.76,0.899,488.76,134163,13.42
488.77,0.901,488.77,134271,13.43
488.78,0.902,488.78,134378,13.44
488.79,0.903,488.79,134486,13.45
488.8,0.905,488.8,134594,13.46
488.81,0.906,488.81,134702,13.47
488.82,0.907,488.82,134809,13.48
488.83,0.909,488.83,134917,13.49
488.84,0.91,488.84,135025,13.5
488.85,0.911,488.85,135133,13.51
488.86,0.913,488.86,135240,13.52
488.87,0.914,488.87,135348,13.53
488.88,0.915,488.88,135456,13.55
488.89,0.917,488.89,135564,13.56
488.9,0.918,488.9,135671,13.57
488.91,0.92,488.91,135779,13.58
488.92,0.921,488.92,135887,13.59
488.93,0.922,488.93,135994,13.6
488.94,0.924,488.94,136102,13.61
488.95,0.925,488.95,136210,13.62
488.96,0.926,488.96,136318,13.63
488.97,0.928,488.97,136425,13.64
488.98,0.929,488.98,136533,13.65
488.99,0.93,488.99,136641,13.66
489,0.932,489,136749,13.67
489.01,0.933,489.01,136856,13.69
489.02,0.935,489.02,136964,13.7
489.03,0.936,489.03,137072,13.71
489.04,0.937,489.04,137180,13.72
489.05,0.939,489.05,137287,13.73
489.06,0.94,489.06,137395,13.74
489.07,0.941,489.07,137503,13.75
489.08,0.943,489.08,137610,13.76
489.09,0.944,489.09,137718,13.77
489.1,0.945,489.1,137826,13.78
489.11,0.947,489.11,137934,13.79
489.12,0.948,489.12,138041,13.8
489.13,0.95,489.13,138149,13.81
489.14,0.951,489.14,138257,13.83
489.15,0.952,489.15,138365,13.84
489.16,0.954,489.16,138472,13.85
489.17,0.955,489.17,138580,13.86
489.18,0.957,489.18,138688,13.87
489.19,0.958,489.19,138796,13.88
489.2,0.959,489.2,138903,13.89
489.21,0.961,489.21,139011,13.9
489.22,0.962,489.22,139119,13.91
489.23,0.963,489.23,139226,13.92
489.24,0.965,489.24,139334,13.93
489.25,0.966,489.25,139442,13.94
489.26,0.968,489.26,139550,13.95
489.27,0.969,489.27,139657,13.97
489.28,0.97,489.28,139765,13.98
489.29,0.972,489.29,139873,13.99
489.3,0.973,489.3,139981,14
489.31,0.975,489.31,140088,14.01
489.32,0.976,489.32,140196,14.02
489.33,0.977,489.33,140304,14.03
489.34,0.979,489.34,140412,14.04
489.35,0.98,489.35,140519,14.05
489.36,0.982,489.36,140627,14.06
489.37,0.983,489.37,140735,14.07
489.38,0.984,489.38,140842,14.08
489.39,0.986,489.39,140950,14.1
489.4,0.987,489.4,141058,14.11
489.41,0.989,489.41,141166,14.12
489.42,0.99,489.42,141273,14.13
489.43,0.991,489.43,141381,14.14
489.44,0.993,489.44,141489,14.15
489.45,0.994,489.45,141597,14.16
489.46,0.996,489.46,141704,14.17
489.47,0.997,489.47,141812,14.18
489.48,0.998,489.48,141920,14.19
489.49,1.000,489.49,142028,14.2
489.5,1.001,489.5,142135,14.21
489.51,1.003,489.51,142243,14.22
489.52,1.004,489.52,142351,14.24
489.53,1.006,489.53,142459,14.25
489.54,1.007,489.54,142566,14.26
489.55,1.008,489.55,142674,14.27
489.56,1.010,489.56,142782,14.28
489.57,1.011,489.57,142889,14.29
489.58,1.013,489.58,142997,14.3
489.59,1.014,489.59,143105,14.31
489.6,1.016,489.6,143213,14.32
489.61,1.017,489.61,143320,14.33
489.62,1.018,489.62,143428,14.34
489.63,1.020,489.63,143536,14.35
489.64,1.021,489.64,143644,14.36
489.65,1.023,489.65,143751,14.38
489.66,1.024,489.66,143859,14.39
489.67,1.026,489.67,143967,14.4
489.68,1.027,489.68,144075,14.41
489.69,1.028,489.69,144182,14.42
489.7,1.030,489.7,144290,14.43
489.71,1.031,489.71,144398,14.44
489.72,1.033,489.72,144505,14.45
489.73,1.034,489.73,144613,14.46
489.74,1.036,489.74,144721,14.47
489.75,1.037,489.75,144829,14.48
489.76,1.039,489.76,144936,14.49
489.77,1.040,489.77,145044,14.5
489.78,1.041,489.78,145152,14.52
489.79,1.043,489.79,145260,14.53
489.8,1.044,489.8,145367,14.54
489.81,1.046,489.81,145475,14.55
489.82,1.047,489.82,145583,14.56
489.83,1.049,489.83,145691,14.57
489.84,1.050,489.84,145798,14.58
489.85,1.052,489.85,145906,14.59
489.86,1.053,489.86,146014,14.6
489.87,1.055,489.87,146121,14.61
489.88,1.056,489.88,146229,14.62
489.89,1.057,489.89,146337,14.63
489.9,1.059,489.9,146445,14.64
489.91,1.060,489.91,146552,14.66
489.92,1.062,489.92,146660,14.67
489.93,1.063,489.93,146768,14.68
489.94,1.065,489.94,146876,14.69
489.95,1.066,489.95,146983,14.7
489.96,1.068,489.96,147091,14.71
489.97,1.069,489.97,147199,14.72
489.98,1.071,489.98,147307,14.73
489.99,1.072,489.99,147414,14.74
490,1.074,490,147522,14.75
490.01,1.075,490.01,147642,14.76
490.02,1.077,490.02,147762,14.78
490.03,1.078,490.03,147881,14.79
490.04,1.080,490.04,148001,14.8
490.05,1.081,490.05,148121,14.81
490.06,1.083,490.06,148241,14.82
490.07,1.084,490.07,148360,14.84
490.08,1.086,490.08,148480,14.85
490.09,1.087,490.09,148600,14.86
490.1,1.089,490.1,148720,14.87
490.11,1.090,490.11,148840,14.88
490.12,1.092,490.12,148959,14.9
490.13,1.093,490.13,149079,14.91
490.14,1.095,490.14,149199,14.92
490.15,1.096,490.15,149319,14.93
490.16,1.098,490.16,149438,14.94
490.17,1.100,490.17,149558,14.96
490.18,1.101,490.18,149678,14.97
490.19,1.103,490.19,149798,14.98
490.2,1.104,490.2,149918,14.99
490.21,1.106,490.21,150037,15
490.22,1.107,490.22,150157,15.02
490.23,1.109,490.23,150277,15.03
490.24,1.110,490.24,150397,15.04
490.25,1.112,490.25,150517,15.05
490.26,1.113,490.26,150636,15.06
490.27,1.115,490.27,150756,15.08
490.28,1.116,490.28,150876,15.09
490.29,1.118,490.29,150996,15.1
490.3,1.120,490.3,151115,15.11
490.31,1.121,490.31,151235,15.12
490.32,1.123,490.32,151355,15.14
490.33,1.124,490.33,151475,15.15
490.34,1.126,490.34,151595,15.16
490.35,1.127,490.35,151714,15.17
490.36,1.129,490.36,151834,15.18
490.37,1.130,490.37,151954,15.2
490.38,1.132,490.38,152074,15.21
490.39,1.134,490.39,152193,15.22
490.4,1.135,490.4,152313,15.23
490.41,1.137,490.41,152433,15.24
490.42,1.138,490.42,152553,15.26
490.43,1.140,490.43,152673,15.27
490.44,1.141,490.44,152792,15.28
490.45,1.143,490.45,152912,15.29
490.46,1.144,490.46,153032,15.3
490.47,1.146,490.47,153152,15.32
490.48,1.148,490.48,153271,15.33
490.49,1.149,490.49,153391,15.34
490.5,1.151,490.5,153511,15.35
490.51,1.152,490.51,153631,15.36
490.52,1.154,490.52,153751,15.38
490.53,1.155,490.53,153870,15.39
490.54,1.157,490.54,153990,15.4
490.55,1.158,490.55,154110,15.41
490.56,1.160,490.56,154230,15.42
490.57,1.162,490.57,154349,15.43
490.58,1.163,490.58,154469,15.45
490.59,1.165,490.59,154589,15.46
490.6,1.166,490.6,154709,15.47
490.61,1.168,490.61,154829,15.48
490.62,1.169,490.62,154948,15.49
490.63,1.171,490.63,155068,15.51
490.64,1.173,490.64,155188,15.52
490.65,1.174,490.65,155308,15.53
490.66,1.176,490.66,155427,15.54
490.67,1.177,490.67,155547,15.55
490.68,1.179,490.68,155667,15.57
490.69,1.180,490.69,155787,15.58
490.7,1.182,490.7,155907,15.59
490.71,1.184,490.71,156026,15.6
490.72,1.185,490.72,156146,15.61
490.73,1.187,490.73,156266,15.63
490.74,1.188,490.74,156386,15.64
490.75,1.190,490.75,156506,15.65
490.76,1.192,490.76,156625,15.66
490.77,1.193,490.77,156745,15.67
490.78,1.195,490.78,156865,15.69
490.79,1.196,490.79,156985,15.7
490.8,1.198,490.8,157104,15.71
490.81,1.199,490.81,157224,15.72
490.82,1.201,490.82,157344,15.73
490.83,1.203,490.83,157464,15.75
490.84,1.204,490.84,157584,15.76
490.85,1.206,490.85,157703,15.77
490.86,1.207,490.86,157823,15.78
490.87,1.209,490.87,157943,15.79
490.88,1.211,490.88,158063,15.81
490.89,1.212,490.89,158182,15.82
490.9,1.214,490.9,158302,15.83
490.91,1.215,490.91,158422,15.84
490.92,1.217,490.92,158542,15.85
490.93,1.219,490.93,158662,15.87
490.94,1.220,490.94,158781,15.88
490.95,1.222,490.95,158901,15.89
490.96,1.223,490.96,159021,15.9
490.97,1.225,490.97,159141,15.91
490.98,1.227,490.98,159260,15.93
490.99,1.228,490.99,159380,15.94
491,1.230,491,159500,15.95
491.01,1.231,491.01,159620,15.96
491.02,1.233,491.02,159740,15.97
491.03,1.235,491.03,159859,15.99
491.04,1.236,491.04,159979,16
491.05,1.238,491.05,160099,16.01
491.06,1.239,491.06,160219,16.02
491.07,1.241,491.07,160338,16.03
491.08,1.243,491.08,160458,16.05
491.09,1.244,491.09,160578,16.06
491.1,1.246,491.1,160698,16.07
491.11,1.247,491.11,160818,16.08
491.12,1.249,491.12,160937,16.09
491.13,1.251,491.13,161057,16.11
491.14,1.252,491.14,161177,16.12
491.15,1.254,491.15,161297,16.13
491.16,1.256,491.16,161416,16.14
491.17,1.257,491.17,161536,16.15
491.18,1.259,491.18,161656,16.17
491.19,1.260,491.19,161776,16.18
491.2,1.262,491.2,161896,16.19
491.21,1.264,491.21,162015,16.2
491.22,1.265,491.22,162135,16.21
491.23,1.267,491.23,162255,16.23
491.24,1.269,491.24,162375,16.24
491.25,1.270,491.25,162495,16.25
491.26,1.272,491.26,162614,16.26
491.27,1.273,491.27,162734,16.27
491.28,1.275,491.28,162854,16.29
491.29,1.277,491.29,162974,16.3
491.3,1.278,491.3,163093,16.31
491.31,1.280,491.31,163213,16.32
491.32,1.282,491.32,163333,16.33
491.33,1.283,491.33,163453,16.35
491.34,1.285,491.34,163573,16.36
491.35,1.286,491.35,163692,16.37
491.36,1.288,491.36,163812,16.38
491.37,1.290,491.37,163932,16.39
491.38,1.291,491.38,164052,16.41
491.39,1.293,491.39,164171,16.42
491.4,1.295,491.4,164291,16.43
491.41,1.296,491.41,164411,16.44
491.42,1.298,491.42,164531,16.45
491.43,1.300,491.43,164651,16.47
491.44,1.301,491.44,164770,16.48
491.45,1.303,491.45,164890,16.49
491.46,1.305,491.46,165010,16.5
491.47,1.306,491.47,165130,16.51
491.48,1.308,491.48,165249,16.52
491.49,1.310,491.49,165369,16.54
491.5,1.311,491.5,165489,16.55
491.51,1.313,491.51,165609,16.56
491.52,1.314,491.52,165729,16.57
491.53,1.316,491.53,165848,16.58
491.54,1.318,491.54,165968,16.6
491.55,1.319,491.55,166088,16.61
491.56,1.321,491.56,166208,16.62
491.57,1.323,491.57,166327,16.63
491.58,1.324,491.58,166447,16.64
491.59,1.326,491.59,166567,16.66
491.6,1.328,491.6,166687,16.67
491.61,1.329,491.61,166807,16.68
491.62,1.331,491.62,166926,16.69
491.63,1.333,491.63,167046,16.7
491.64,1.334,491.64,167166,16.72
491.65,1.336,491.65,167286,16.73
491.66,1.338,491.66,167405,16.74
491.67,1.339,491.67,167525,16.75
491.68,1.341,491.68,167645,16.76
491.69,1.343,491.69,167765,16.78
491.7,1.344,491.7,167885,16.79
491.71,1.346,491.71,168004,16.8
491.72,1.348,491.72,168124,16.81
491.73,1.349,491.73,168244,16.82
491.74,1.351,491.74,168364,16.84
491.75,1.353,491.75,168484,16.85
491.76,1.354,491.76,168603,16.86
491.77,1.356,491.77,168723,16.87
491.78,1.358,491.78,168843,16.88
491.79,1.360,491.79,168963,16.9
491.8,1.361,491.8,169082,16.91
491.81,1.363,491.81,169202,16.92
491.82,1.365,491.82,169322,16.93
491.83,1.366,491.83,169442,16.94
491.84,1.368,491.84,169562,16.96
491.85,1.370,491.85,169681,16.97
491.86,1.371,491.86,169801,16.98
491.87,1.373,491.87,169921,16.99
491.88,1.375,491.88,170041,17
491.89,1.376,491.89,170160,17.02
491.9,1.378,491.9,170280,17.03
491.91,1.380,491.91,170400,17.04
491.92,1.381,491.92,170520,17.05
491.93,1.383,491.93,170640,17.06
491.94,1.385,491.94,170759,17.08
491.95,1.387,491.95,170879,17.09
491.96,1.388,491.96,170999,17.1
491.97,1.390,491.97,171119,17.11
491.98,1.392,491.98,171238,17.12
491.99,1.393,491.99,171358,17.14
492,1.395,492,171478,17.15
492.01,1.397,492.01,171598,17.16
492.02,1.398,492.02,171718,17.17
492.03,1.400,492.03,171838,17.18
492.04,1.402,492.04,171958,17.2
492.05,1.404,492.05,172078,17.21
492.06,1.405,492.06,172197,17.22
492.07,1.407,492.07,172317,17.23
492.08,1.409,492.08,172437,17.24
492.09,1.410,492.09,172557,17.26
492.1,1.412,492.1,172677,17.27
492.11,1.414,492.11,172797,17.28
492.12,1.416,492.12,172917,17.29
492.13,1.417,492.13,173037,17.3
492.14,1.419,492.14,173157,17.32
492.15,1.421,492.15,173277,17.33
492.16,1.422,492.16,173397,17.34
492.17,1.424,492.17,173517,17.35
492.18,1.426,492.18,173637,17.36
492.19,1.428,492.19,173757,17.38
492.2,1.429,492.2,173877,17.39
492.21,1.431,492.21,173997,17.4
492.22,1.433,492.22,174117,17.41
492.23,1.435,492.23,174237,17.42
492.24,1.436,492.24,174357,17.44
492.25,1.438,492.25,174477,17.45
492.26,1.440,492.26,174597,17.46
492.27,1.442,492.27,174717,17.47
492.28,1.443,492.28,174837,17.48
492.29,1.445,492.29,174957,17.5
492.3,1.447,492.3,175077,17.51
492.31,1.448,492.31,175197,17.52
492.32,1.450,492.32,175317,17.53
492.33,1.452,492.33,175437,17.54
492.34,1.454,492.34,175557,17.56
492.35,1.455,492.35,175677,17.57
492.36,1.457,492.36,175797,17.58
492.37,1.459,492.37,175917,17.59
492.38,1.461,492.38,176037,17.6
492.39,1.462,492.39,176157,17.62
492.4,1.464,492.4,176277,17.63
492.41,1.466,492.41,,17.64
492.42,1.468,492.42,176517,17.65
492.43,1.469,492.43,176637,17.66
492.44,1.471,492.44,,17.68
492.45,1.473,492.45,176877,17.69
492.46,1.475,492.46,176997,17.7
492.47,1.476,492.47,177117,17.71
492.48,1.478,492.48,177237,17.72
492.49,1.480,492.49,177357,17.74
492.5,1.482,492.5,177477,17.75
492.51,1.483,492.51,177597,17.76
492.52,1.485,492.52,177717,17.77
492.53,1.487,492.53,177837,17.78
492.54,1.489,492.54,177957,17.8
492.55,1.491,492.55,178077,17.81
492.56,1.492,492.56,178197,17.82
492.57,1.494,492.57,178317,17.83
492.58,1.496,492.58,178437,17.84
492.59,1.498,492.59,178557,17.86
492.6,1.499,492.6,178677,17.87
492.61,1.501,492.61,178796,17.88
492.62,1.503,492.62,178916,17.89
492.63,1.505,492.63,179036,17.9
492.64,1.507,492.64,179156,17.92
492.65,1.508,492.65,179276,17.93
492.66,1.510,492.66,179396,17.94
492.67,1.512,492.67,179516,17.95
492.68,1.514,492.68,179636,17.96
492.69,1.515,492.69,179756,17.98
492.7,1.517,492.7,179876,17.99
492.71,1.519,492.71,179996,18
492.72,1.521,492.72,180116,18.01
492.73,1.523,492.73,180236,18.02
492.74,1.524,492.74,180356,18.04
492.75,1.526,492.75,180476,18.05
492.76,1.528,492.76,180596,18.06
492.77,1.530,492.77,180716,18.07
492.78,1.532,492.78,180836,18.08
492.79,1.533,492.79,180956,18.1
492.8,1.535,492.8,181076,18.11
492.81,1.537,492.81,181196,18.12
492.82,1.539,492.82,181316,18.13
492.83,1.541,492.83,181436,18.14
492.84,1.542,492.84,181556,18.16
492.85,1.544,492.85,181676,18.17
492.86,1.546,492.86,181796,18.18
492.87,1.548,492.87,181916,18.19
492.88,1.550,492.88,182036,18.2
492.89,1.551,492.89,182156,18.22
492.9,1.553,492.9,182276,18.23
