Hoehe [mNN],Inhalt [Mio m³],Hoehe [mNN],Flaeche [m²],Flaeche [ha]
472.01,0,472.01,350,0.03
472.02,0,472.02,351,0.04
472.03,0,472.03,353,0.04
472.04,0,472.04,355,0.04
472.05,0,472.05,357,0.04
472.06,0,472.06,358,0.04
472.07,0,472.07,360,0.04
472.08,0,472.08,362,0.04
472.09,0,472.09,364,0.04
472.1,0,472.1,365,0.04
472.11,0,472.11,367,0.04
472.12,0,472.12,369,0.04
472.13,0,472.13,371,0.04
472.14,0,472.14,372,0.04
472.15,0,472.15,374,0.04
472.16,0,472.16,376,0.04
472.17,0,472.17,377,0.04
472.18,0,472.18,379,0.04
472.19,0,472.19,381,0.04
472.2,0,472.2,383,0.04
472.21,0,472.21,384,0.04
472.22,0,472.22,386,0.04
472.23,0,472.23,388,0.04
472.24,0,472.24,390,0.04
472.25,0,472.25,391,0.04
472.26,0,472.26,393,0.04
472.27,0,472.27,395,0.04
472.28,0,472.28,397,0.04
472.29,0,472.29,398,0.04
472.3,0,472.3,400,0.04
472.31,0,472.31,402,0.04
472.32,0,472.32,404,0.04
472.33,0,472.33,405,0.04
472.34,0,472.34,407,0.04
472.35,0,472.35,409,0.04
472.36,0,472.36,411,0.04
472.37,0,472.37,412,0.04
472.38,0,472.38,414,0.04
472.39,0,472.39,416,0.04
472.4,0,472.4,417,0.04
472.41,0,472.41,419,0.04
472.42,0,472.42,421,0.04
472.43,0,472.43,423,0.04
472.44,0,472.44,424,0.04
472.45,0,472.45,426,0.04
472.46,0,472.46,428,0.04
472.47,0,472.47,430,0.04
472.48,0,472.48,431,0.04
472.49,0,472.49,433,0.04
472.5,0,472.5,435,0.04
472.51,0,472.51,437,0.04
472.52,0,472.52,438,0.04
472.53,0,472.53,440,0.04
472.54,0,472.54,442,0.04
472.55,0,472.55,444,0.04
472.56,0,472.56,445,0.04
472.57,0,472.57,447,0.04
472.58,0,472.58,449,0.04
472.59,0,472.59,451,0.05
472.6,0,472.6,452,0.05
472.61,0,472.61,454,0.05
472.62,0,472.62,456,0.05
472.63,0,472.63,457,0.05
472.64,0,472.64,459,0.05
472.65,0,472.65,461,0.05
472.66,0,472.66,463,0.05
472.67,0,472.67,464,0.05
472.68,0,472.68,466,0.05
472.69,0,472.69,468,0.05
472.7,0,472.7,470,0.05
472.71,0,472.71,471,0.05
472.72,0,472.72,473,0.05
472.73,0,472.73,475,0.05
472.74,0,472.74,477,0.05
472.75,0,472.75,478,0.05
472.76,0,472.76,480,0.05
472.77,0,472.77,482,0.05
472.78,0,472.78,484,0.05
472.79,0,472.79,485,0.05
472.8,0,472.8,487,0.05
472.81,0,472.81,489,0.05
472.82,0,472.82,491,0.05
472.83,0,472.83,492,0.05
472.84,0,472.84,494,0.05
472.85,0,472.85,496,0.05
472.86,0,472.86,497,0.05
472.87,0,472.87,499,0.05
472.88,0.001,472.88,501,0.05
472.89,0.001,472.89,503,0.05
472.9,0.001,472.9,504,0.05
472.91,0.001,472.91,506,0.05
472.92,0.001,472.92,508,0.05
472.93,0.001,472.93,510,0.05
472.94,0.001,472.94,511,0.05
472.95,0.001,472.95,513,0.05
472.96,0.001,472.96,515,0.05
472.97,0.001,472.97,517,0.05
