56	2
0	856353
-1	836846
-2	817365
-3	797728
-4	778332
-5	759242
-6	737984
-7	715902
-8	693469
-9	668719
-10	644423
-11	618152
-12	595546
-13	571958
-14	547205
-15	522345
-16	497967
-17	475879
-18	453527
-19	430348
-20	408641
-21	386852
-22	366305
-23	346283
-24	327397
-25	308149
-26	287399
-27	266648
-28	245573
-29	224498
-30	209986
-31	195474
-32	183476
-33	171478
-34	159500
-35	147522
-36	136749
-37	125975
-38	115362
-39	104908
-40	94454
-41	85665
-42	76875
-43	68085
-44	59296
-45	50506
-46	40579
-47	30651
-48	20724
-49	10797
-50	870
-51	696
-52	522
-53	348
-54	174
-55	0
